Sp,Yrs,Side,1L,1H,2L,2H,3L,3H,4L,4H
CEOC,3,t,G1t-bag,G2t-bag,G3t-bag,G4t-bag,G5t-bag,G6t-bag,G7t-bag,G8t-bag
CEOC,3,b,G1b-bag,G2b-bag,G3b-bag,G4b-bag,G5b-bag,G6b-bag,G7b-bag,G8b-bag
FRAM,3,t,J1t-bag,J2t-bag,J3t-bag,J4t-bag,J5t-bag,J6t-bag,J7t-bag,J8t-bag
FRAM,3,b,J1b-bag,J2b-bag,J3b-bag,J4b-bag,J5b-bag,J6b-bag,J7b-bag,J8b-bag
JUNI,3,t,L1t-bag,L2t-bag,L3t-bag,L4t-bag,L5t-bag,L6t-bag,L7t-bag,L8t-bag
JUNI,3,b,L1b-bag,L2b-bag,L3b-bag,L4b-bag,L5b-bag,L6b-bag,L7b-bag,L8b-bag
JUVI,3,t,N1t-bag,N2t-bag,N3t-bag,N4t-bag,N5t-bag,N6t-bag,N7t-bag,N8t-bag
JUVI,3,b,N1b-bag,N2b-bag,N3b-bag,N4b-bag,N5b-bag,N6b-bag,N7b-bag,N8b-bag
LOMA,3,t,O1t-bag,O2t-bag,O3t-bag,O4t-bag,O5t-bag,O6t-bag,O7t-bag,O8t-bag
LOMA,3,b,O1b-bag,O2b-bag,O3b-bag,O4b-bag,O5b-bag,O6b-bag,O7b-bag,O8b-bag
PIEC,3,t,P1t-bag,P2t-bag,P3t-bag,P4t-bag,P5t-bag,P6t-bag,P7t-bag,P8t-bag
PIEC,3,b,P1b-bag,P2b-bag,P3b-bag,P4b-bag,P5b-bag,P6b-bag,P7b-bag,P8b-bag
QUAL,3,t,T1t-bag,T2t-bag,T3t-bag,T4t-bag,T5t-bag,T6t-bag,T7t-bag,T8t-bag
QUAL,3,b,T1b-bag,T2b-bag,T3b-bag,T4b-bag,T5b-bag,T6b-bag,T7b-bag,T8b-bag
QUVE,3,t,V1t-bag,V2t-bag,V3t-bag,V4t-bag,V5t-bag,V6t-bag,V7t-bag,V8t-bag
QUVE,3,b,V1b-bag,V2b-bag,V3b-bag,V4b-bag,V5b-bag,V6b-bag,V7b-bag,V8b-bag
