Sp,Yrs,Side,1L,1H,2L,2H,3L,3H,4L,4H,,
ACRU,5,t,A1t,A2t,A3t,A4t,A5t,A6t,A7t,A8t,,
ACRU,5,b,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,,
AEGL,5,t,B1t,B2t,B3t,B4t,B5t,B6t,B7t,B8t,,
AEGL,5,b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,,
AMAR,5,t,C1_,C2t,C3t,C4t,C5t,C6t,C7_,C8_,,
AMAR,5,b,NA,C2b,C3b,C4b,C5b,C6b,NA,NA,,
ASTR,5,t,D1t,D2t,D3t,D4t,D5t,D6t,D7t,D8t,,
ASTR,5,b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,,
CATO,5,t,E1t,E2t,E3t,E4t,E5t,E6t,E7t,E8t,,
CATO,5,b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,,
CEOC,5,t,F1t,F2t,F3t,F4t,F5t,F6t,F7_,F8t,,
CEOC,5,b,F1b,F2b,F3b,F4b,F5b,F6b,NA,F8b,,
CEOC,3,t,G1t,G2t,G3t,G4t,G5_,G6t,G7t,G8t,,
CEOC,3,b,G1b,G2b,G3b,G4b,NA,G6b,G7b,G8b,,
COFL,5,t,H1t,H2t,H3t,H4t,H5t,H6t,H7t,H8t,,
COFL,5,b,H1b,H2b,H3b,H4b,H5b,H6b,H7b,H8b,,
DIVI,5,t,I1_,I2t,I3_,I4t,I5t,I6t,I7t,I8t,,
DIVI,5,b,NA,I2b,NA,I4b,I5b,I6b,I7b,I8b,,
FRAM,3,t,J1t,J2t,J3t,J4t,J5t,J6t,J7t,J8t,,
FRAM,3,b,J1b,J2b,J3b,J4b,J5b,J6b,J7b,J8b,,
GLTR,5,t,K1t,K2t,K3_,K4t,K5t,K6t,K7_,K8t,,
GLTR,5,b,K1b,K2b,NA,K4b,K5b,K6b,NA,K8b,,
JUNI,3,t,L1t,L2t,L3t,L4t,L5t,L6t,L7t,L8t,,
JUNI,3,b,L1b,L2b,L3b,L4b,L5b,L6b,L7b,L8b,,
JUVI,5,t,M1t,M2t,M3t,M4t,M5t,M6t,M7t,M8t,,
JUVI,5,b,M1b,M2b,M3b,M4b,M5b,M6b,M7b,M8b,,
JUVI,3,t,N1t,N2t,N3t,N4t,N5t,N6t,N7t,N8t,,
JUVI,3,b,N1b,N2b,N3b,N4b,N5b,N6b,N7b,N8b,,
LOMA,3,t,O1t,O2t,O3t,O4t,O5t,O6t,O7t,O8t,,
LOMA,3,b,O1b,O2b,O3b,O4b,O5b,O6b,O7b,O8b,,
PIEC,3,t,P1t,P2t,P3t,P4t,P5t,P6t,P7t,P8t,,
PIEC,3,b,P1b,P2b,P3b,P4b,P5b,P6b,P7b,P8b,,
PIST,5,t,Q1t,Q2t,Q3t,Q4t,Q5t,Q6t,Q7t,Q8t,,
PIST,5,b,Q1b,Q2b,Q3b,Q4b,Q5b,Q6b,Q7b,Q8b,,
PLOC,5,t,R1_,R2t,R3t,R4t,R5t,R6t,R7t,R8t,,
PLOC,5,b,NA,R2b,R3b,R4b,R5b,R6b,R7b,R8b,,
PRSE,5,t,S1t,S2t,S3t,S4_,S5_,S6t,S7t,S8_,,
PRSE,5,b,S1b,S2b,S3b,NA,NA,S6b,S7b,NA,,
QUAL,5,t,T1t,T2t,T3t,T4t,T5t,T6t,T7t,T8t,,
QUAL,5,b,T1b,T2b,T3b,T4b,T5b,T6b,T7b,T8b,,
QUVE,5,t,U1t,U2t,U3t,U4t,U5t,U6t,U7t,U8_,,
QUVE,5,b,U1b,U2b,U3b,U4b,U5b,U6b,U7b,NA,,
QUVE,3,t,V1t,V2t,V3t,V4t,V5t,V6t,V7t,V8t,,
QUVE,3,b,V1b,V2b,V3b,V4b,V5b,V6b,V7b,V8b,,
ULRU,5,t,W1t,W2t,W3t,W4t,W5t,W6t,W7t,W8t,,
ULRU,5,b,W1b,W2b,W3b,W4b,W5b,W6b,W7b,W8b,,
VIVU,5,t,X1_,X2_,X3t,X4t,X5_,X6t,X7_,X8_,,
VIVU,5,b,NA,NA,X3b,X4b,NA,X6b,NA,NA,,
,,,44,47,46,47,45,48,44,44,,totals of main samples
,,,60,63,62,63,61,64,60,60,,totals of main + bagged samples
,,,,,,,,,,,,
,,,,,,,,,,365,,total main harvest samples
,,,,,,,,,,493,,total all samples
